;Code;City;Region;County;FeatureVectorGlobal;RegionFeatureVectorGlobal
0;1;Волгоград;Volgograd;Volgograd;"[ 0.43961023  0.36601429  0.35270988  0.40980612  0.24778338  0.35902234
  0.16218059  0.22537218  0.19914583  0.12118486  0.14064211  0.19162313
  0.0468807   0.05454264  0.07339643  0.11129697 -0.         -0.
  0.17338523 -0.          0.11323459  0.18260152 -0.         -0.
 -0.         -0.         -0.          0.34112901]";[0.4396102277766507, 0.3660142922563436, 0.3527098783242228, 0.4098061231045699, 0.2477833750021363, 0.35902234287948526, 0.16218058845095315, 0.22537218135822074, 0.1991458308109733, 0.12118486089797126, 0.14064211089812284, 0.1916231340703622, 0.04688070363270761, 0.05454264266079174, 0.07339642813126913, 0.11129697121545218, 0.0, 0.0, 0.1733852298243755, 0.0, 0.1132345903308036, 0.1826015216423557, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3411290136803216]
1;2;Зырянка;Buryat;Pribaykal'skiy;"[ 0.82970921  0.37810409  0.41063356  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         -0.         -0.          0.5064321  -0.         -0.
  0.37400039 -0.         -0.         -0.          0.0925614  -0.
  0.09535602  0.27156329  0.02014711  1.19128091]";[0.6797125207793979, 0.47040378957959633, 0.37897507535254193, 0.08296150858483585, 0.05206965035421816, 0.10792386290246034, 0.05484665368555182, 0.1091136901015338, 0.056485497778991735, 0.02497390256957047, 0.0322783008195017, 0.046207210492712224, 0.012486951284785235, 0.10006395010825735, 0.0, 0.35805626116621897, 0.0, 0.009793499902779442, 0.27231422546538486, 0.0, 0.0281620119223253, 0.14983918837098084, 0.09071416152161878, 0.04232943884864975, 0.12635622016890644, 0.24898149170887499, 0.17335775990074348, 0.848462429172687]
2;3;Киренск;Irkutsk;Kirensky District;"[ 0.87740125  0.37944506  0.29357877  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         -0.         -0.          0.51699541 -0.         -0.
  0.17622841 -0.         -0.         -0.          0.13820137 -0.
  0.21392405  0.27267753  0.35424941  1.1125006 ]";[0.6762464157772842, 0.43081904437200097, 0.3618421284182035, 0.1005059023978382, 0.06372160993684756, 0.12627152759835383, 0.06984130551350484, 0.13908592582527066, 0.101226422002942, 0.02600914366940693, 0.04480769404395495, 0.050793919293341504, 0.014410687480712125, 0.11432158397044644, 0.11587135428224031, 0.3168947551025742, 0.050228436919259545, 0.09141320606717314, 0.1638119253026527, 0.13668781319613443, 0.02390413772449514, 0.09480518423695507, 0.09169605461252298, 0.16548429104120568, 0.1576778799842876, 0.21768041977545913, 0.29644794951551406, 0.6957729848342996]
3;4;Петропавловск-Камчатский;Kamchatka;;"[ 0.48297125  0.35986156  0.40333284  0.36678964  0.18185936  0.34042377
  0.22720007  0.27385651  0.12206178  0.          0.16664025  0.14758025
  0.          0.10282626 -0.          0.13624185 -0.          0.02862873
  0.06157272 -0.          0.1418008   0.07785504  0.18616304 -0.
 -0.         -0.          0.27030094  0.29521683]";[0.4829712457668964, 0.35986156092064997, 0.40333284236212075, 0.36678964187591007, 0.18185936330581987, 0.34042377145111996, 0.22720006585918784, 0.27385651074607054, 0.12206177532263085, 0.0, 0.1666402478903688, 0.1475802487172628, 0.0, 0.10282626177455492, 0.0, 0.1362418488166588, 0.0, 0.02862872701429119, 0.06157271947331483, 0.0, 0.14180080119930305, 0.0778550351098462, 0.18616304439052753, 0.0, 0.0, 0.0, 0.2703009353223472, 0.29521682789699993]
4;5;Ижевск;Udmurt;Izhevsk;"[ 0.4560136   0.35743905  0.36844131  0.31962373  0.20906647  0.33731603
  0.2298751   0.29852402  0.21668741  0.14075164  0.17344464  0.17344464
  0.          0.17894927 -0.          0.13646578 -0.         -0.
  0.09073023 -0.          0.09112749  0.23418898  0.18613517 -0.
  0.20341752  0.11359659  0.23257224 -0.        ]";[0.45601360410631736, 0.3574390469271527, 0.36844131188674445, 0.31962372836758607, 0.20906646779635787, 0.3373160343564643, 0.2298750971955075, 0.2985240239927878, 0.2166874081801021, 0.14075163874705063, 0.17344464201187684, 0.17344464201187684, 0.0, 0.17894926525105934, 0.0, 0.13646578196235437, 0.0, 0.0, 0.09073022812220588, 0.0, 0.09112749106617192, 0.23418898485547981, 0.1861351729668405, 0.0, 0.20341752105836453, 0.11359658830438693, 0.23257224199149198, 0.0]
5;6;Владивосток;Primorsky;Vladivostokskiy;"[ 0.4559869   0.37140243  0.35245173  0.39353648  0.20739083  0.36418177
  0.20358262  0.23214146  0.1952866   0.04882165  0.16889516  0.18066158
  0.04882165  0.09485603 -0.          0.09936456 -0.          0.01949074
  0.07009807 -0.          0.20239539  0.18813918  0.14125159 -0.
 -0.         -0.          0.0883011   0.32019852]";[0.455986897150655, 0.37140242555238545, 0.35245172595240126, 0.3935364835227451, 0.20739083449710574, 0.3641817670775635, 0.2035826230797455, 0.23214145813287235, 0.1952866039646559, 0.04882165099116398, 0.16889516311290761, 0.1806615764329256, 0.04882165099116398, 0.09485603125286306, 0.0, 0.09936456309201404, 0.0, 0.01949073964755202, 0.07009806607354159, 0.0, 0.2023953864752158, 0.18813918225159895, 0.14125158725957593, 0.0, 0.0, 0.0, 0.08830109855069268, 0.32019852108512326]
6;7;Мотыгино;Krasnoyarsk;Motyginsky District;"[ 0.85961759  0.28341739  0.42512609  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         -0.         -0.          0.49675842  0.02278213 -0.
  0.2481285  -0.         -0.         -0.          0.1078745  -0.
  0.23393838  0.21402871  0.0906441   1.05428392]";[0.7537177243935558, 0.3258730662466827, 0.4217448793990444, 0.062350824292711084, 0.03475118201144362, 0.0675603153041036, 0.035825367078433965, 0.06012802433262702, 0.06012241060004339, 0.015170835373402192, 0.02866169285971684, 0.02797654780621649, 0.0, 0.06464313243445184, 0.07523052194135847, 0.37256064067874006, 0.07846458080049817, 0.09341770768199581, 0.19301602752117242, 0.11312795381595127, 0.02679149916411122, 0.09478201865783036, 0.09335848660447826, 0.22211981824170476, 0.21424701642732247, 0.18678079986640883, 0.15933242215542345, 0.8386605882345529]
7;8;Светлогорск (Красноярск.);;;"[ 0.          0.87348481  0.          0.          0.          0.
  0.          0.43046742  0.22742491  0.          0.          0.
  0.         -0.         -0.          0.06517563 -0.          0.48022862
  0.12284707 -0.          0.84533113  0.75929861 -0.         -0.
 -0.          0.05158385  1.71149521  0.85816301]";
8;9;Магнитогорск;Chelyabinsk;Magnitogorsk;"[ 0.47373551  0.41002207  0.38408144  0.27974969  0.20601969  0.33166149
  0.19398582  0.27755051  0.2413042   0.08576387  0.13987484  0.17152774
  0.          0.15554873 -0.          0.17673209 -0.         -0.
  0.18016134 -0.          0.12096357  0.14751136  0.20779453 -0.
  0.18229001  0.18316357  0.2916592   0.09375707]";[0.4367105175717449, 0.3767749904790232, 0.3607258632534479, 0.3247807586058789, 0.23103045859205162, 0.3427577974874413, 0.20637796853509321, 0.274312250277291, 0.23803482283015337, 0.09280549084632136, 0.17100113290338603, 0.19021485893853482, 0.049923556988337094, 0.12995983072462852, 0.07165042634983057, 0.0883660444770646, 0.0, 0.01964402821972686, 0.10782461947104847, 0.0, 0.1022682002195407, 0.20134485419828382, 0.10389726290266005, 0.0, 0.09114500420066543, 0.0915817871131816, 0.14582959881737598, 0.06106796903332938]
9;10;Тюмень;Tyumen;Tjumen';"[ 0.41824999  0.37056062  0.34637426  0.38194951  0.21628714  0.34779143
  0.20271236  0.24701424  0.23550184  0.13366664  0.17583377  0.2145237
  0.04216713  0.17842142  0.494853   -0.          0.19297978  0.26188636
 -0.          0.3070148  -0.          0.28010211 -0.          0.27199675
 -0.          0.0322157  -0.         -0.        ]";[0.41824998788559153, 0.37056062283354485, 0.3463742558575002, 0.38194950748739037, 0.21628713980418512, 0.3477914252930953, 0.2027123562260956, 0.24701424161579086, 0.23550183548149664, 0.13366663716756486, 0.17583376639199338, 0.2145237030514815, 0.04216712922442855, 0.1784214157583254, 0.4948530000362162, 0.0, 0.1929797846585509, 0.26188635957263984, 0.0, 0.3070147991424056, 0.0, 0.28010211081699615, 0.0, 0.271996749285716, 0.0, 0.03221569670410761, 0.0, 0.0]
