;Code;City;Region;County;FeatureVectorGlobal;RegionFeatureVectorGlobal
0;1;Назарово;Krasnoyarsk;;"[ 0.68950154  0.61329973  0.24880581  0.          0.24880581  0.
  0.15697899  0.          0.          0.          0.          0.
  0.         -0.         -0.         -0.         -0.         -0.
  0.67095293  0.26730735 -0.         -0.          0.11895503 -0.
 -0.          0.2793584   0.13241579 -0.        ]";[0.5489490921524983, 0.6316607840045212, 0.10622752636088768, 0.04165013977719606, 0.10463014427499233, 0.004761411831107688, 0.12996972504829052, 0.18321698855929225, 0.010003530307659552, 0.008549526995155115, 0.021021824032056657, 0.009522823662215376, 0.0, 0.07740027411208812, 0.10478650280642235, 0.1008926907427949, 0.07404362042793201, 0.10678778095044514, 0.5050066659648633, 0.23763907790982577, 0.09155829520241783, 0.41743706963278554, 0.47689628739703654, 0.3987247745980743, 0.4398501036050262, 0.40985263032607017, 0.14767933726101837, 0.23691911274099944]
1;2;Удомля;Tver;;"[ 0.69095879  0.72289415  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.01662133 -0.         -0.         -0.         -0.
  0.77685738  0.27683911 -0.          0.34834789  0.59172042  0.20552551
 -0.          0.45817684 -0.         -0.        ]";[0.40127042834449916, 0.6791372616648969, 0.02717771923507796, 0.0437571484680196, 0.035663199651483714, 0.0, 0.06616670007656437, 0.4044517415688575, 0.0, 0.03242051310393563, 0.003862996629568856, 0.0, 0.0, 0.05822040805154264, 0.06903423646110976, 0.2052113613116169, 0.05753615984884048, 0.20692398424478783, 0.5194099700715136, 0.15419875175592435, 0.06495851318194772, 0.6978350262586968, 0.6256853549769732, 0.7877004841418688, 0.9230314868679069, 0.5948425001120895, 0.06612207779032753, 0.11712589389371139]
2;3;Нелидово;Tver;Nelidovskiy;"[ 0.61965539  0.64608465  0.13697919  0.          0.          0.
  0.13697919  0.40134179  0.          0.          0.          0.
  0.         -0.         -0.         -0.         -0.         -0.
  0.97083285 -0.         -0.          0.48182601  0.69510276  1.00537206
  0.32863035  0.89571298 -0.         -0.        ]";[0.40127042834449916, 0.6791372616648969, 0.02717771923507796, 0.0437571484680196, 0.035663199651483714, 0.0, 0.06616670007656437, 0.4044517415688575, 0.0, 0.03242051310393563, 0.003862996629568856, 0.0, 0.0, 0.05822040805154264, 0.06903423646110976, 0.2052113613116169, 0.05753615984884048, 0.20692398424478783, 0.5194099700715136, 0.15419875175592435, 0.06495851318194772, 0.6978350262586968, 0.6256853549769732, 0.7877004841418688, 0.9230314868679069, 0.5948425001120895, 0.06612207779032753, 0.11712589389371139]
3;4;Сосенский;Kaluga;Kozel'skiy;"[ 0.          0.69216542  0.          0.          0.09708766  0.
  0.          0.71517901  0.          0.          0.          0.
  0.          0.13218712 -0.          0.52100141 -0.          0.44902989
  0.29018874 -0.         -0.          1.11437546  0.76473094  1.19265159
  2.06214453  0.51452743 -0.         -0.        ]";[0.24003468477489937, 0.6685569603140313, 0.017045495321152872, 0.015393616147851183, 0.0574091775821807, 0.0, 0.04635290598187947, 0.5655044689407305, 0.0, 0.018395178880180715, 0.017045495321152872, 0.0, 0.0, 0.08643760825331173, 0.08658856956158356, 0.3330870541782828, 0.05982000812768388, 0.2849298107977009, 0.4528898203781537, 0.12485822342001225, 0.09717906906267494, 0.8759278688165459, 0.7407034767865368, 1.0274169834448148, 1.3864640067418432, 0.5484692849137258, 0.07785262206497341, 0.1522380428005368]
4;5;Лахденпохья;Karelia;Lakhdenpokhskiy;"[ 0.          0.59857468  0.          0.          0.          0.
  0.          0.80106701  0.          0.          0.          0.
  0.          0.04891244 -0.          0.5702843  -0.          0.58001636
  0.05696066 -0.         -0.          1.23103341  0.71069175  1.14655442
  2.30522999  0.47201747 -0.         -0.        ]";[0.23531517865424773, 0.6423442317364415, 0.02116422279108139, 0.0, 0.06331987833596386, 0.0, 0.08310816862638842, 0.5168826910852492, 0.0, 0.00897603365876731, 0.012910494317131867, 0.0, 0.0, 0.18394519529491962, 0.09448733506326873, 0.3190237893348983, 0.08002335513476105, 0.3119818123705385, 0.3022832250397199, 0.24004122250953205, 0.0942039072431815, 0.7746232224196831, 0.6015703020225472, 0.9196977810354283, 1.3150743654205086, 0.413612961118972, 0.1788799027898997, 0.12595793030762803]
5;6;Новозыбков;Bryansk;;"[ 0.69514957  0.71210167  0.          0.          0.          0.
  0.09837826  0.          0.          0.          0.          0.
  0.          0.18050307 -0.         -0.         -0.         -0.
  1.07195761  0.40487078 -0.          0.45256524  0.84065262  0.6990986
 -0.          0.87308797 -0.         -0.        ]";[0.3861942053062064, 0.705016910860762, 0.0, 0.0, 0.04372091736651413, 0.0, 0.054654589674261816, 0.3160505846246833, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16850040959826687, 0.0, 0.21181287421047532, 0.0, 0.233682893000098, 0.7385082448230759, 0.2249282126221548, 0.0, 0.8106212543292516, 0.8293206123761129, 0.9252127346235741, 0.9326666927503202, 0.7927133124959024, 0.0, 0.0]
6;7;Демидов;Smolensk;;"[ 0.          0.6460303   0.          0.          0.          0.
  0.          0.76331176  0.          0.          0.          0.
  0.         -0.         -0.          0.55510379 -0.          0.54096991
  0.05477546 -0.         -0.          1.42928658  0.84760438  1.0889139
  2.37433636  0.55826643 -0.         -0.        ]";[0.21558069221994092, 0.6476050588552675, 0.0367774417350123, 0.01488046568557089, 0.08524216953257563, 0.0, 0.07625186656480468, 0.587381086153602, 0.007816694786904216, 0.029946272744371703, 0.019893445962237074, 0.003908347393452108, 0.0, 0.06251228685185593, 0.09764147912506015, 0.33901821753435674, 0.06827661356814949, 0.3388793812684507, 0.41541597917564954, 0.20427642452185343, 0.08727764013557553, 0.9190159788375093, 0.6748689844447033, 0.9577835994810374, 1.4795727679803738, 0.6198823932683227, 0.15265374033349594, 0.10658341540011247]
7;8;Фокино (ЗАТО);Primorsky;Fokino (ZATO);"[ 0.          0.          0.          0.          0.          0.
  0.          1.          0.          0.          0.          0.
  0.         -0.         -0.          0.43546369  0.11133956  0.69641173
 -0.         -0.         -0.          0.9446158  -0.          0.62998171
  1.80264903  0.52097743 -0.         -0.        ]";[0.0, 0.16124198482211874, 0.0, 0.0, 0.015952786308620785, 0.0, 0.0, 0.9156141743038254, 0.0, 0.05497275702231338, 0.0, 0.0, 0.0, 0.1415601051776145, 0.11129312059612355, 0.37197793100547677, 0.13176554176138255, 0.5411886337799586, 0.09029807866739488, 0.3720638647526749, 0.14513365916117785, 0.7509049386532268, 0.10685764734809244, 0.5786236883939937, 1.5000730664025568, 0.4381065148714012, 0.24740185164144948, 0.08358634868343688]
8;9;Коломна;Moscow Oblast;Kolomna;"[ 0.          0.68080634  0.          0.          0.22141214  0.
  0.          0.69819724  0.          0.          0.          0.
  0.          0.17263629 -0.          0.49808614 -0.          0.42395222
  0.25038628 -0.         -0.          1.05894068  0.7877059   1.10708637
  1.96667554  0.35391493 -0.         -0.        ]";[0.2822264806660947, 0.6995024539531512, 0.0, 0.0, 0.07249089555311017, 0.0, 0.07117277128507331, 0.34651667511450274, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2067503623007747, 0.010816996204625184, 0.2553758548924321, 0.017314717098162503, 0.24093120593482342, 0.5695794137953136, 0.20482324126015097, 0.02066165616704293, 0.7915495300462139, 0.7496818772144688, 0.8843768000870225, 1.0760706165055496, 0.6359419629706863, 0.057512766459907286, 0.02471439050208056]
9;10;Мосальск;Kaluga;Mosal'skiy;"[ 0.          0.69216542  0.          0.          0.09708766  0.
  0.          0.71517901  0.          0.          0.          0.
  0.          0.13218712 -0.          0.52100141 -0.          0.44902989
  0.29018874 -0.         -0.          1.11437546  0.76473094  1.19265159
  2.06214453  0.51452743 -0.         -0.        ]";[0.24003468477489937, 0.6685569603140313, 0.017045495321152872, 0.015393616147851183, 0.0574091775821807, 0.0, 0.04635290598187947, 0.5655044689407305, 0.0, 0.018395178880180715, 0.017045495321152872, 0.0, 0.0, 0.08643760825331173, 0.08658856956158356, 0.3330870541782828, 0.05982000812768388, 0.2849298107977009, 0.4528898203781537, 0.12485822342001225, 0.09717906906267494, 0.8759278688165459, 0.7407034767865368, 1.0274169834448148, 1.3864640067418432, 0.5484692849137258, 0.07785262206497341, 0.1522380428005368]
