;Code;City;Region;County;FeatureVectorGlobal;RegionFeatureVectorGlobal
0;1;Назарово;Krasnoyarsk;;"[ 0.55069005  0.40675105  0.22936301  0.06397919  0.10140462  0.50353959
  0.36646773  0.          0.27651348  0.          0.          0.
  0.         -0.         -0.         -0.         -0.         -0.
  0.20887105  0.06757389  0.64408225  0.10208645 -0.         -0.
  0.51237438 -0.         -0.          0.57712124]";[0.4291809864663833, 0.3163217285348688, 0.22331548689691935, 0.11879294659738515, 0.20795375401580216, 0.4169158090135641, 0.2466163145452616, 0.10615129689614598, 0.4466969920192344, 0.13725609476820172, 0.1134479122393422, 0.07711816380687662, 0.02590614653998947, 0.06861440765816605, 0.06986442982847613, 0.08981194046086746, 0.036187373941858995, 0.059500104914792525, 0.24940012661629, 0.24593892909604298, 0.3668690238816803, 0.06331678406032538, 0.17645052241644021, 0.17392545844518983, 0.5038479525225731, 0.0374335610257783, 0.037070359868256526, 0.24818351941494898]
1;2;Могоча;Zabaykalsky;Mogochinsky District;"[ 0.44556828  0.31951862  0.27145988  0.12360668  0.26710958  0.40022194
  0.2625361   0.          0.46498124  0.30618587  0.          0.
  0.         -0.          0.14065442 -0.         -0.         -0.
  0.04124388  0.21640556  0.11286095 -0.         -0.         -0.
  0.67010169  0.3502239  -0.          0.29179209]";[0.40974657919005786, 0.2800160461743483, 0.19004751754545093, 0.11498531485327991, 0.2282056635144417, 0.43298514016171213, 0.2541897390481541, 0.08677762650752599, 0.4972483518948561, 0.19332105965886343, 0.05254761857857411, 0.04889739538664439, 0.01685946949356604, 0.05035878548418884, 0.07549709584964566, 0.021561016373628936, 0.02655979251586782, 0.04672705887464482, 0.17451344912038666, 0.20384198556864444, 0.273792082102436, 0.02901620439690208, 0.02705603449908798, 0.0, 0.48459006423522255, 0.1693619589692168, 0.10638209835290599, 0.26563600040219176]
2;3;Карасук;Novosibirsk;;"[ 0.42214719  0.30338951  0.26471562  0.10495438  0.27736305  0.42740877
  0.19418867  0.05247719  0.51917265  0.28114927  0.          0.
  0.         -0.          0.16538726 -0.         -0.         -0.
  0.30352375  0.41127754  0.25022526 -0.         -0.         -0.
  0.51118779  0.25169657 -0.          0.28458314]";[0.37706377522854256, 0.3630305550891687, 0.21473712875369586, 0.09667862934577152, 0.17841985515051517, 0.478047388514738, 0.3080843702444042, 0.09630648411197118, 0.36150798881837826, 0.14117235723190186, 0.05407692087541273, 0.03109741241764994, 0.019750334138953198, 0.09409106604860391, 0.07189703169764962, 0.09257111306982037, 0.035488724923118796, 0.02197968945794825, 0.18883228852066034, 0.20122076822295049, 0.36139293671198575, 0.07528097374054052, 0.22289408960930635, 0.24566243830252693, 0.46921153725670445, 0.07797604598095517, 0.07078442133013498, 0.3742176290716759]
3;4;Удомля;Tver;;"[ 0.38023399  0.35008473  0.2794914   0.15176846  0.24786773  0.43309508
  0.31533196  0.08568468  0.45110111  0.16218305  0.12552579  0.15176846
  0.08568468 -0.         -0.         -0.         -0.         -0.
  0.29412006 -0.          0.33445543  0.041936   -0.         -0.
  0.0243608  -0.          0.00429296  0.14275756]";[0.3294579394851545, 0.2496126037370756, 0.13406122223546166, 0.06295891464349837, 0.1155221733953933, 0.4975286777032366, 0.2129878832216991, 0.0341857057126533, 0.4932639459290808, 0.07427579400789903, 0.03482460863998518, 0.03920666241801857, 0.02519564601286655, 0.16039205302316725, 0.06357695848843528, 0.07274143614435741, 0.06873982235236831, 0.07871093726406224, 0.1810157788316775, 0.2714853520346076, 0.4973281249398306, 0.061200285243638984, 0.13047931082446929, 0.1522034156412432, 0.7082039065397607, 0.029158844444365905, 0.10316603928202381, 0.3247371543166213]
4;5;Каменка;Penza;Kamenskiy;"[ 0.42238818  0.          0.          0.          0.          0.50346927
  0.          0.          0.74269238  0.12851049  0.          0.
  0.          0.27324525  0.04683344 -0.          0.0160522   0.36322975
  0.49430384  0.63470865  0.66854573 -0.         -0.         -0.
  0.99028627  0.06083583  0.25149674  0.24703847]";[0.3827393536902478, 0.23658395600690296, 0.20518205113228427, 0.1701845390779938, 0.21444562905853543, 0.4151917334460967, 0.21866359660317553, 0.15210634771225198, 0.4844743178708387, 0.20191654150482705, 0.12755658492795954, 0.1023481132625689, 0.06579421334064874, 0.07930834251325201, 0.011708360867008452, 0.1057947953602111, 0.04472233388892307, 0.10352894441103329, 0.3628036779970289, 0.18631235478016944, 0.36306556991630506, 0.10040028008276221, 0.16069547396037318, 0.09661936178935929, 0.2879653977785755, 0.09720313286346602, 0.0811942154833337, 0.17930519110595672]
5;6;Нелидово;Tver;Nelidovskiy;"[ 0.36043926  0.17636332  0.          0.          0.08818166  0.49249126
  0.08818166  0.          0.75703624  0.08818166  0.          0.
  0.          0.22787053  0.18404627 -0.          0.22682171  0.18126946
  0.1693393   0.48856416  0.51720056 -0.         -0.         -0.
  1.14358177  0.21979163  0.22182695  0.10418971]";[0.3294579394851545, 0.2496126037370756, 0.13406122223546166, 0.06295891464349837, 0.1155221733953933, 0.4975286777032366, 0.2129878832216991, 0.0341857057126533, 0.4932639459290808, 0.07427579400789903, 0.03482460863998518, 0.03920666241801857, 0.02519564601286655, 0.16039205302316725, 0.06357695848843528, 0.07274143614435741, 0.06873982235236831, 0.07871093726406224, 0.1810157788316775, 0.2714853520346076, 0.4973281249398306, 0.061200285243638984, 0.13047931082446929, 0.1522034156412432, 0.7082039065397607, 0.029158844444365905, 0.10316603928202381, 0.3247371543166213]
6;7;Владивосток;Primorsky;Vladivostokskiy;"[ 0.36459507  0.29562426  0.24032515  0.20470548  0.30781559  0.38707269
  0.25921468  0.16636215  0.4380194   0.30781559  0.16212375  0.16636215
  0.          0.05664186 -0.          0.34242878  0.088302    0.07990979
 -0.         -0.         -0.          0.05347286  0.5769247   0.62999773
 -0.          0.23312675 -0.         -0.        ]";[0.38865983953812155, 0.3041555131569467, 0.1897346410499477, 0.14869208692431596, 0.2209382347599991, 0.4558612882041538, 0.2306717475248079, 0.07665011512508614, 0.4920949982575254, 0.18627556995437117, 0.06383303003256234, 0.07483883439139949, 0.0, 0.09515746882286066, 0.04886329164873965, 0.06352641056826239, 0.05239446229633156, 0.057457920140613974, 0.06726558738883118, 0.20848735273406618, 0.22026421765662227, 0.09302009894854438, 0.07637976641320483, 0.13112369556262096, 0.5273194627857958, 0.09153433265660674, 0.054075012321980115, 0.15205367717352652]
7;8;Альметьевск;Tatarstan;Al'met'evskiy;"[ 0.41436171  0.35423483  0.30855468  0.19298305  0.24871512  0.41660425
  0.31171167  0.11769136  0.42794671  0.14229614  0.10137382  0.10137382
  0.         -0.          0.04429321 -0.         -0.         -0.
  0.40719275  0.17528861  0.41501086 -0.         -0.         -0.
  0.59097994 -0.         -0.          0.24163402]";[0.39917109121341093, 0.2953809073280764, 0.23068411775726858, 0.1372588198612639, 0.19636105876365448, 0.426177857972538, 0.2618163866546986, 0.10423479431526568, 0.45043125644069987, 0.1705231526340518, 0.09652525839468575, 0.061439849351011475, 0.023954257696694216, 0.07530447208892327, 0.07088531027948013, 0.08512269352098423, 0.02603550000339464, 0.04914586252824346, 0.239820246478396, 0.24192506504248393, 0.312030077045116, 0.09890183374857829, 0.14914077320374014, 0.1180133151105009, 0.5253526479697075, 0.1359110624905779, 0.03539821858380005, 0.24695647930703435]
8;9;Лахденпохья;Karelia;Lakhdenpokhskiy;"[ 0.32648277  0.          0.          0.          0.16324139  0.4023857
  0.          0.          0.80477139  0.23914431  0.          0.
  0.         -0.          0.11682254 -0.          0.02452744  0.04847269
  0.15092907  0.26209511  0.14829877 -0.         -0.         -0.
  0.10706747  0.29731362  0.00736225  0.07189975]";[0.36143126169696027, 0.15513137990145257, 0.09739872481142867, 0.05160633673634078, 0.19113989050446886, 0.4157472200074902, 0.10070072935779699, 0.0196057323593093, 0.6761512966654785, 0.2614504934492864, 0.015619624481593245, 0.012123378124459516, 0.0, 0.0890927451026336, 0.08825474412285332, 0.01914857073273201, 0.0407235911365609, 0.05267705040861217, 0.14844224249779134, 0.25453194122624867, 0.2031964900271686, 0.0, 0.0012035400803233932, 0.03063581229974946, 0.35980797152774197, 0.25602921563470804, 0.11977372274401052, 0.18988007136737678]
9;10;Борзя;Zabaykalsky;Borzinsky District;"[ 0.40407772  0.26439325  0.          0.          0.20463404  0.52678416
  0.27936893  0.          0.58165747  0.17626217  0.          0.
  0.          0.2076168   0.17295761 -0.         -0.          0.04979808
 -0.          0.54602238  0.23511764 -0.         -0.         -0.
  0.80978791  0.41136772 -0.          0.44179982]";[0.40974657919005786, 0.2800160461743483, 0.19004751754545093, 0.11498531485327991, 0.2282056635144417, 0.43298514016171213, 0.2541897390481541, 0.08677762650752599, 0.4972483518948561, 0.19332105965886343, 0.05254761857857411, 0.04889739538664439, 0.01685946949356604, 0.05035878548418884, 0.07549709584964566, 0.021561016373628936, 0.02655979251586782, 0.04672705887464482, 0.17451344912038666, 0.20384198556864444, 0.273792082102436, 0.02901620439690208, 0.02705603449908798, 0.0, 0.48459006423522255, 0.1693619589692168, 0.10638209835290599, 0.26563600040219176]
