Code;City;Region;County;FeatureVectorGlobal;RegionFeatureVectorGlobal
1;Жердевка;Tambov;Zherdevskiy;"[ 0.42070268  0.08929207  0.13081052  0.34530557  0.16901107  0.49093466
  0.27910468  0.27910468  0.          0.50329755  0.          0.
  0.          0.11409737 -0.          0.4183729   0.55638833 -0.
 -0.         -0.         -0.         -0.         -0.          0.44315959
 -0.          0.26041937  0.38662269 -0.        ]";[0.3632250641166429, 0.0754754951122764, 0.09217938045884964, 0.3206842237989199, 0.22253660375357048, 0.4556811209219224, 0.2295816741895682, 0.2924295532403961, 0.09370886338707464, 0.5074548995799234, 0.1478476080321624, 0.04587113628301014, 0.031576765826286414, 0.06390910604048425, 0.012133913164799547, 0.15399628431801035, 0.3513493621685247, 0.0406266687685845, 0.19918355461858556, 0.014891991494380674, 0.0, 0.038469848364801974, 0.0, 0.15842452233781584, 0.1667080760636329, 0.08931793310898484, 0.26879297210757286, 0.0]
2;Уссурийск;Primorsky;;"[ 0.39490185  0.11476418  0.1979847   0.33708114  0.27026415  0.40117761
  0.26737413  0.29623464  0.15358785  0.42775522  0.26007588  0.10308628
  0.          0.11172727  0.01603541 -0.         -0.          0.13271582
  0.91334874  0.62756723 -0.          0.49676881 -0.         -0.
 -0.         -0.         -0.         -0.        ]";[0.2125855793633309, 0.03983478723266263, 0.08665410518852482, 0.37035328271591544, 0.1340376522965602, 0.5734773031544875, 0.10196792048422634, 0.40857084065883953, 0.04664641544813099, 0.26697159039925383, 0.09922252981735734, 0.040646133368977135, 0.0, 0.0318693870585297, 0.11719589455859758, 0.1734030899989742, 0.5063677025197187, 0.07604748999058959, 0.2367652106682116, 0.18201698809159148, 0.27707864895703926, 0.1240291396325534, 0.027025955067031458, 0.25066463154896074, 0.2057736695168179, 0.2935604312413226, 0.7233278699304329, 0.4704943856270089]
3;Усинск;Komi;Usinsk;"[ 3.61566081e-01  2.14654864e-01  2.30622592e-01  3.06419046e-01
  2.89635509e-01  3.62609413e-01  2.81828106e-01  2.73600070e-01
  1.84003868e-01  3.99696399e-01  2.68784781e-01  1.72979817e-01
  1.03312833e-01  1.07623073e-01 -0.00000000e+00  3.72271340e-05
 -0.00000000e+00 -0.00000000e+00  4.34492053e-01  5.03938451e-02
 -0.00000000e+00  2.02263640e-01 -0.00000000e+00 -0.00000000e+00
  6.78811462e-02  1.68603019e-01 -0.00000000e+00 -0.00000000e+00]";[0.3550156410823592, 0.12492862473656212, 0.14492924209994193, 0.27462653959712885, 0.21167794638786833, 0.4326897673608756, 0.2005725082187206, 0.2509640617224174, 0.12306974115161713, 0.4489742534268488, 0.20951541642465418, 0.09007591068750981, 0.03670430659089551, 0.0722980660551435, 0.053328831109203785, 0.07531604596823961, 0.23092478516413809, 0.16076545132320683, 0.28310369430729604, 0.11416531287817894, 0.059947320696853074, 0.13995942044895868, 0.005417484037123392, 0.047624826126104476, 0.2434626752376694, 0.17090346002303403, 0.32202265091176957, 0.2709714713446307]
4;Елец;Lipetsk;;"[ 0.36374635  0.15865814  0.20118905  0.31809229  0.29843057  0.37965022
  0.27096603  0.28145603  0.1624393   0.43347708  0.27266434  0.1624393
  0.          0.13192071 -0.         -0.          0.06942259  0.05550009
  0.21374478  0.13635049 -0.          0.18551232 -0.         -0.
  0.09088995  0.07546372 -0.         -0.        ]";[0.22908254118888657, 0.06480959081967583, 0.07933836753606154, 0.31719733007778605, 0.15779512061824774, 0.5420457411819183, 0.1391987270599864, 0.3710434629592581, 0.06600588709863536, 0.3111560125782998, 0.13872695378048946, 0.06439562471314036, 0.015953739332064856, 0.05213611791272636, 0.058019892872937684, 0.11218333113975594, 0.44335293400943987, 0.06375888562843947, 0.19431414518801843, 0.04406249045977188, 0.19369682227655993, 0.08311319903313233, 0.0, 0.13590946727516232, 0.35883748837585, 0.18979107006577275, 0.518449093319029, 0.1686571083343968]
5;Чумикан;Novosibirsk;Novosibirsk;"[ 0.41020059  0.          0.          0.          0.          0.4926865
  0.          0.          0.          0.76746042  0.          0.
  0.         -0.         -0.          0.24967104  0.54260872  0.76735894
 -0.          0.13462288 -0.         -0.         -0.         -0.
  0.82531645  0.33409804  0.61706245  0.67873167]";[0.3855945158075501, 0.055935850715607985, 0.09243348819217158, 0.33218592735713776, 0.1733582887995107, 0.470892828867565, 0.21225896453038695, 0.3048423816898852, 0.0831101237400829, 0.4084919924415814, 0.1279170136854638, 0.03529662185204492, 0.023186112921088776, 0.06594798460392165, 0.1278764291797809, 0.19755629705569216, 0.40457791904849716, 0.09979454907780647, 0.11915774930813677, 0.07642847037241587, 0.12636353796009084, 0.052166242953188606, 0.1179587672597046, 0.1977083675916041, 0.27697179913072234, 0.22138810373722126, 0.4183025712427196, 0.24606004703223508]
6;Югорск;Khanty-Mansi;Jugorsk;"[ 0.39298317  0.04778491  0.17682518  0.30545631  0.2682984   0.41424188
  0.27105633  0.2576714   0.1235222   0.48837985  0.27105633  0.07573729
  0.04778491  0.01932099 -0.          0.0281888   0.02597153  0.09754477
  0.31213066  0.11363988 -0.          0.26354193 -0.         -0.
 -0.          0.21693964 -0.         -0.        ]";[0.34216139363004183, 0.07921267588526748, 0.12018681185041909, 0.3288018257627612, 0.21200632947076142, 0.4659829447195596, 0.19881308006112489, 0.2732632804595456, 0.08878650641074153, 0.4097616091279591, 0.21288012867956926, 0.06204654300098346, 0.0325260793205573, 0.024427374393866573, 0.12798374223455766, 0.13390425894028582, 0.32126505452235465, 0.1200813091073844, 0.3413960694590863, 0.13928806573846264, 0.08425774158669963, 0.13681875496446594, 0.08054073004003133, 0.1108082683940434, 0.21514324114664218, 0.17637234997017004, 0.3251195549889091, 0.19281219449872603]
7;Новосокольники;Pskov;Novosokol'nicheskiy;"[ 3.35364739e-01  0.00000000e+00  0.00000000e+00  2.26185878e-01
  2.41943561e-01  4.97867864e-01  1.30764763e-01  2.48933932e-01
  1.03628623e-01  6.33783262e-01  1.96147145e-01  0.00000000e+00
  0.00000000e+00 -0.00000000e+00 -0.00000000e+00  4.86881255e-04
  2.68623329e-01  1.71463019e-01 -0.00000000e+00 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
  4.72804731e-01  1.64992322e-02  2.41893492e-01 -0.00000000e+00]";[0.367303909009541, 0.018280402384952755, 0.028882169503131033, 0.22480694997639147, 0.15783065157248138, 0.4873365946976654, 0.12870562268831878, 0.20334025822861876, 0.039820033875940124, 0.5804494442649294, 0.12098382610052012, 0.026366286700388212, 0.0, 0.02353779241182956, 0.10991037673855324, 0.16347989543648148, 0.35209441811668557, 0.2715559132740261, 0.20436640103435105, 0.10709413952838952, 0.11544602404928805, 0.11635983777090543, 0.0740244613617588, 0.0903267830850444, 0.548598042098646, 0.20578307969129878, 0.28250193011886615, 0.134486738185366]
8;Богданович;Sverdlovsk;;"[ 0.38735457  0.10919359  0.1855396   0.31578879  0.28590061  0.40880475
  0.26704992  0.29276715  0.13390349  0.44764198  0.27422787  0.06695174
  0.          0.10064506 -0.          0.04509336  0.36524976  0.18991482
 -0.         -0.         -0.         -0.         -0.         -0.
  0.69983369  0.02788702  0.31560857 -0.        ]";[0.20365504400919565, 0.033073515046209645, 0.057725382444961865, 0.3492779392040689, 0.10056816213549588, 0.5826936004519707, 0.09689571705956014, 0.39843741911008157, 0.04940907835090125, 0.25631109442857763, 0.0777091168182353, 0.02360256139752804, 0.014419525608990154, 0.054698320007110196, 0.14265307058444723, 0.2109672129439544, 0.6213688750510342, 0.1251608445638378, 0.14800309285261334, 0.16564170663397507, 0.2923155942038698, 0.07880083210854658, 0.05531545029971831, 0.28598423375015414, 0.40802236159229505, 0.3566833222000964, 0.7827865426074834, 0.48737310742756945]
9;Белореченск;Krasnodar;Belorechenskiy;"[ 0.38197863  0.2004032   0.23246263  0.32534032  0.29298778  0.3623899
  0.27994656  0.26730979  0.17733546  0.3981089   0.27567921  0.13210571
  0.06052514  0.11308405 -0.          0.05341566  0.13668722  0.03197307
 -0.         -0.         -0.         -0.         -0.         -0.
  0.55916873  0.18590539  0.13924253 -0.        ]";[0.32126791328359205, 0.1394472358422113, 0.17287310965641073, 0.31371330694662086, 0.2435014053845665, 0.4319582342131657, 0.21993118074368115, 0.29505985182129985, 0.1516006461640105, 0.36981936758403483, 0.22433217358476729, 0.11968392548362713, 0.06207905974481358, 0.06265427730365464, 0.19775510681480435, 0.09868120980700172, 0.22286945497359167, 0.06243415651461602, 0.34269002129449855, 0.10164434105647183, 0.10552363198363938, 0.1080387504840812, 0.1068854473416367, 0.09187588671043691, 0.33951739191356317, 0.20642831175320808, 0.26776049851487527, 0.21685784445216386]
10;Курганинск;Krasnodar;;"[ 0.39364708  0.16392605  0.20849192  0.34122968  0.27168106  0.37476193
  0.29741873  0.27515994  0.12990832  0.42527378  0.22888021  0.15164962
  0.08196303  0.12432972 -0.          0.1421068   0.23316274  0.05940437
 -0.         -0.         -0.         -0.         -0.         -0.
  0.44081257  0.16296944  0.1555228  -0.        ]";[0.32126791328359205, 0.1394472358422113, 0.17287310965641073, 0.31371330694662086, 0.2435014053845665, 0.4319582342131657, 0.21993118074368115, 0.29505985182129985, 0.1516006461640105, 0.36981936758403483, 0.22433217358476729, 0.11968392548362713, 0.06207905974481358, 0.06265427730365464, 0.19775510681480435, 0.09868120980700172, 0.22286945497359167, 0.06243415651461602, 0.34269002129449855, 0.10164434105647183, 0.10552363198363938, 0.1080387504840812, 0.1068854473416367, 0.09187588671043691, 0.33951739191356317, 0.20642831175320808, 0.26776049851487527, 0.21685784445216386]
