,id,whole_population,urban,rural
0,РОССИЙСКАЯ ФЕДЕРАЦИЯ,20867263.0,15423843,5443420
1,Белгородская область,242049.0,146359,95690
2,Брянская область,192771.0,131748,61023
3,Владимирская область,233301.0,176719,56582
4,Воронежская область,394499.0,249437,145062
5,Ивановская область,171668.0,137387,34281
6,Калужская область,162749.0,121545,41204
7,Костромская область,99956.0,68367,31589
8,Курская область,180856.0,109277,71579
9,Липецкая область,186636.0,111503,75133
10,Московская область,1056115.0,849949,206166
11,Орловская область,124919.0,80657,44262
12,Рязанская область,203062.0,133706,69356
13,Смоленская область,149925.0,104059,45866
14,Тамбовская область,185817.0,107411,78406
15,Тверская область,220365.0,157722,62643
16,Тульская область,272234.0,203733,68501
17,Ярославская область,214164.0,170237,43927
18,Москва,2009172.0,1986187,22985
19,Республика Карелия,91842.0,70617,21225
20,Республика Коми,92707.0,69613,23094
21,Архангельская область,164618.0,121418,43200
22,Ненецкий автономный округ,3589.0,2422,1167
23,Архангельская область без автономного округа,161029.0,118996,42033
24,Вологодская область,167313.0,110805,56508
25,Калининградская область,138276.0,113486,24790
26,Ленинградская область,282791.0,181623,101168
27,Мурманская область,83575.0,79154,4421
28,Hовгородская область,103185.0,66160,37025
29,Псковская область,109751.0,68827,40924
30,Санкт-Петербург,851342.0,851342,-
31,Республика Адыгея,67305.0,32560,34745
32,Республика Калмыкия,28144.0,13697,14447
33,Республика Крым,310843.0,167752,143091
34,Краснодарский край,847286.0,452437,394849
35,Астраханская область,135773.0,97373,38400
36,Волгоградская область,406320.0,314949,91371
37,Ростовская область,665244.0,455615,209629
38,Севастополь,69652.0,64907,4745
39,Республика Дагестан,208496.0,92061,116435
40,Республика Ингушетия,27744.0,11999,15745
41,Кабардино-Балкарская Республика,92165.0,52826,39339
42,Карачаево-Черкесская Республика,54663.0,25272,29391
43,Республика Северная Осетия-Алания,96775.0,64420,32355
44,Чеченская Республика,60503.0,17894,42609
45,Ставропольский край,390583.0,233489,157094
46,Республика Башкортостан,519168.0,301363,217805
47,Республика Марий Эл,88346.0,59581,28765
48,Республика Мордовия,122927.0,68416,54511
49,Республика Татарстан,527462.0,371965,155497
50,Удмуртская Республика,192242.0,126975,65267
51,Чувашская Республика,169455.0,89861,79594
52,Пермский край,356153.0,273248,82905
53,Кировская область,203246.0,147859,55387
54,Нижегородская область,518489.0,395931,122558
55,Оренбургская область,270081.0,156761,113320
56,Пензенская область,229445.0,151056,78389
57,Самарская область,498830.0,395276,103554
58,Саратовская область,401070.0,303247,97823
59,Ульяновская область,199172.0,139766,59406
60,Курганская область,138138.0,81631,56507
61,Свердловская область,623170.0,518601,104569
62,Тюменская область,274007.0,199865,74142
63,Ханты-Мансийский автономный округ-Югра,92889.0,84799,8090
64,Ямало-Ненецкий автономный округ,16403.0,13169,3234
65,Тюменская область без автономных округов,164715.0,101897,62818
66,Челябинская область,505443.0,419136,86307
67,Республика Алтай,18563.0,5560,13003
68,Республика Бурятия,99700.0,58703,40997
69,Республика Тыва,17038.0,9549,7489
70,Республика Хакасия,64241.0,44921,19320
71,Алтайский край,345564.0,185706,159858
72,Забайкальский край,110434.0,74254,36180
73,Красноярский край,348735.0,261788,86947
74,Иркутская область,294539.0,239184,55355
75,Кемеровская область,370511.0,317173,53338
76,Новосибирская область,384279.0,300559,83720
77,Омская область,261286.0,192251,69035
78,Томская область,132469.0,92585,39884
79,Республика Саха(Якутия),71631.0,46359,25272
80,Камчатский край,33451.0,25439,8012
81,Приморский край,267301.0,205207,62094
82,Хабаровский край,172294.0,147718,24576
83,Амурская область,97451.0,65305,32146
84,Магаданская область,13962.0,13209,753
85,Сахалинская область,57496.0,45335,12161
86,Еврейская автономная область,20061.0,14643,5418
87,Чукотский автономный округ,2259.0,1558,701
