,lat,lng,name,osm_accuracy,population,district,subject,density,ivl_per_100k,ivl_number,ekmo_per_100k,ekmo_number,life_quality_place_rating,ecology,cleanness,public_services,neighbourhood,children_places,sport_and_outdoor,shops_and_malls,public_transport,security,life_costs
0,52.651054599999995,90.101159,Абаза,0.593507677970318,17111,Сибирский,Хакасия,"8,68",,,,,,,,,,,,,,,
1,53.7209024,91.442435,Абакан,0.609790990910155,165183,Сибирский,Хакасия,"8,68",,,,,26.0,93.0,61.0,11.0,25.0,64.0,45.0,51.0,5.0,31.0,17.0
2,53.6828,53.655701,Абдулино,0.58718281351088,20663,Приволжский,Оренбургская область,"15,95","27,7",542,"0,05",1.0,,,,,,,,,,,
3,44.8649528,38.1578189,Абинск,0.5978643972223641,34926,Южный,Краснодарский край,"73,73","17,6",1000,"0,07",4.0,,,,,,,,,,,
4,56.525459700000006,52.9972512,Агрыз,0.596614665199801,19299,Приволжский,Татарстан,"57,27","28,2",1100,н. д.,,,,,,,,,,,,
5,54.862955500000005,53.0792275,Азнакаево,0.5950572107405551,34859,Приволжский,Татарстан,"57,27","28,2",1100,н. д.,,,,,,,,,,,,
6,47.0884477,39.424074559130396,Азов,0.633784277105689,82882,Южный,Ростовская область,"41,87","15,3",643,"0,05",2.0,174.0,120.0,114.0,148.0,89.0,170.0,188.0,185.0,210.0,217.0,162.0
7,47.268696000000006,39.861362,Аксай,0.589467215043441,41984,Южный,Ростовская область,"41,87","15,3",643,"0,05",2.0,,,,,,,,,,,
8,57.850811,61.695,Алапаевск,0.613774447066366,38198,Уральский,Свердловская область,"22,2",35,1510,"0,05",2.0,,,,,,,,,,,
9,54.84582955,46.5627484284573,Алатырь,0.5886688924656,38202,Приволжский,Чувашия,"67,27","34,7",422,"0,08",1.0,,,,,,,,,,,
10,58.608414,125.388222,Алдан,0.605947875397728,21277,Дальневосточный,Якутия,"0,31",,,,,,,,,,,,,,,
11,52.4970221,82.7730755,Алейск,0.598513283078841,28528,Сибирский,Алтайский край,"13,9","34,6",802,"0,04",1.0,,,,,,,,,,,
12,56.3962287,38.711110299999994,Александров,0.614190064709064,61544,Центральный,Владимирская область,"47,53","31,4",426,"0,07",1.0,,,,,,,,,,,
13,59.163218900000004,57.5806324455949,Александровск,0.589053399644964,14868,Приволжский,Пермский край,"16,33",20,520,"0,04",1.0,,,,,,,,,,,
14,50.6299364,38.6867154,Алексеевка,0.591445708860836,39026,Центральный,Белгородская область,"57,19","16,8",260,н. д.,,,,,,,,,,,,
15,54.5028103,37.0667213,Алексин,0.593120203849316,61738,Центральный,Тульская область,"58,05","20,3",297,н. д.,,,,,,,,,,,,
16,55.554956000000004,98.6654191,Алзамай,0.598401892483957,6751,Сибирский,Иркутская область,"3,13","26,5",633,н. д.,,,,,,,,,,,,
17,44.677112,34.4095393,Алушта,0.602915167891094,29078,Южный,Крым,"73,38","34,3",656,н. д.,,,,,,,,,,,,
18,54.90050079999999,52.2963777,Альметьевск,0.6060070330404449,146309,Приволжский,Татарстан,"57,27","28,2",1100,н. д.,,95.0,184.0,33.0,73.0,196.0,60.0,47.0,156.0,208.0,65.0,154.0
19,64.7316875,177.5060925,Анадырь,0.591918180647331,13053,Дальневосточный,Чукотский АО,"0,07",,,,,,,,,,,,,,,
20,44.894271999999994,37.316887,Анапа,0.6429240761307851,58983,Южный,Краснодарский край,"73,73","17,6",1000,"0,07",4.0,1.0,7.0,9.0,4.0,30.0,42.0,7.0,16.0,50.0,5.0,48.0
21,52.53111170000001,103.8826109,Ангарск,0.620687137820104,233765,Сибирский,Иркутская область,"3,13","26,5",633,н. д.,,77.0,152.0,78.0,78.0,72.0,82.0,67.0,34.0,14.0,193.0,91.0
22,56.646801,32.26532,Андреаполь,0.5955262571396489,8265,Центральный,Тверская область,"15,27","9,4",118,0,0.0,,,,,,,,,,,
23,56.077808,86.019356,Анжеро-Судженск,0.691975472245134,76669,Сибирский,Кемеровская область,"28,22","27,3",726,"0,08",2.0,221.0,111.0,202.0,212.0,61.0,241.0,249.0,250.0,149.0,129.0,227.0
24,67.568626,33.404392,Апатиты,0.5387485870051529,59690,Северо-Западный,Мурманская область,"5,2","30,5",226,"0,27",2.0,,,,,,,,,,,
25,56.6954649,60.850453599999994,Арамиль,0.603533765249116,14227,Уральский,Свердловская область,"22,2",35,1510,"0,05",2.0,,,,,,,,,,,
26,43.2950455,45.86889179999999,Аргун,0.5951277956683381,29528,Северо-Кавказский,Чечня,"95,8",,,,,,,,,,,,,,,
27,54.8436669,46.2386314,Ардатов,0.588374966721875,9400,Приволжский,Мордовия,"30,73",н. д.,"0,13",1,,,,,,,,,,,,
28,55.3989463,43.840812899999996,Арзамас,0.614842447172448,106367,Приволжский,Нижегородская область,"43,25",н. д.,"0,03",1,,149.0,64.0,178.0,185.0,107.0,122.0,119.0,159.0,246.0,91.0,182.0
29,51.942913,43.489098,Аркадак,0.5887933469411171,12846,Приволжский,Саратовская область,"24,58","22,1",536,н. д.,,,,,,,,,,,,
30,44.9993585,41.1294061,Армавир,0.625553416979574,188897,Южный,Краснодарский край,"73,73","17,6",1000,"0,07",4.0,21.0,19.0,12.0,31.0,81.0,67.0,28.0,42.0,20.0,26.0,147.0
31,44.1608008,133.2889113,Арсеньев,0.602290298739534,56742,Дальневосточный,Приморский край,"11,53",,,,,,,,,,,,,,,
32,56.090991599999995,49.8771828,Арск,0.591620199086833,18114,Приволжский,Татарстан,"57,27","28,2",1100,н. д.,,,,,,,,,,,,
33,43.35703770000001,132.1853629,Артём,0.605651232440788,106460,Дальневосточный,Приморский край,"11,53",,,,,,,,,,,,,,,
34,48.60083235,37.9940003223644,Артёмовск,0.494973508413046,74072,Сибирский,Красноярский край,"1,23","24,6",706,"0,03",1.0,,,,,,,,,,,
35,57.343185399999996,61.8775035,Артёмовский,0.604328770013058,30336,Уральский,Свердловская область,"22,2",35,1510,"0,05",2.0,,,,,,,,,,,
36,64.543022,40.537121,Архангельск,0.6830740534513711,348716,Северо-Западный,Архангельская область,"2,71","38,4",419,"0,18",2.0,224.0,210.0,243.0,245.0,183.0,156.0,201.0,112.0,222.0,143.0,134.0
37,57.00527460000001,61.458076500000004,Асбест,0.609063811524401,70067,Уральский,Свердловская область,"22,2",35,1510,"0,05",2.0,233.0,217.0,184.0,133.0,79.0,225.0,240.0,114.0,248.0,239.0,217.0
38,56.999187,86.14166999999999,Асино,0.5939886199299,25614,Сибирский,Томская область,"3,4","37,1",400,"0,37",4.0,,,,,,,,,,,
39,46.3652486,48.0552168617783,Астрахань,0.6704389758656829,520662,Южный,Астраханская область,"23,07","23,9",240,"0,3",3.0,234.0,232.0,240.0,207.0,195.0,184.0,226.0,194.0,183.0,234.0,189.0
40,51.882442,45.012572999999996,Аткарск,0.5952687234722089,25620,Приволжский,Саратовская область,"24,58","22,1",536,н. д.,,,,,,,,,,,,
41,48.2877616,46.174487899999995,Ахтубинск,0.592998616910351,41898,Южный,Астраханская область,"23,07","23,9",240,"0,3",3.0,,,,,,,,,,,
42,56.2694846,90.4953964,Ачинск,0.6251791008596739,109156,Сибирский,Красноярский край,"1,23","24,6",706,"0,03",1.0,225.0,248.0,200.0,81.0,203.0,162.0,210.0,210.0,133.0,210.0,181.0
43,54.99088960000001,57.278053099999994,Аша,0.60201754214395,31916,Уральский,Челябинская область,"39,74","24,5",849,"0,06",2.0,,,,,,,,,,,
44,59.3969942,35.940425,Бабаево,0.5963385957600611,12074,Северо-Западный,Вологодская область,"8,08","22,1",257,н. д.,,,,,,,,,,,,
45,51.7161749,105.8635328,Бабушкин,0.598401892483957,4542,Сибирский,Бурятия,"2,8","24,9",246,"0,1",1.0,,,,,,,,,,,
46,54.4030866,53.235701600000006,Бавлы,0.5927302783138559,22109,Приволжский,Татарстан,"57,27","28,2",1100,н. д.,,,,,,,,,,,,
47,51.522597999999995,104.14907099999999,Байкальск,0.599812710008018,13589,Сибирский,Иркутская область,"3,13","26,5",633,н. д.,,,,,,,,,,,,
48,43.68587385,43.544624025,Баксан,0.5871560575307021,36857,Северо-Кавказский,Кабардино-Балкария,"69,27",,,,,,,,,,,,,,,
49,55.1783579,36.657556400000004,Балабаново,0.5891312019688311,26337,Центральный,Калужская область,"33,85","4,8",48,"0,1",1.0,,,,,,,,,,,
50,52.01812,47.819140999999995,Балаково,0.612899469290669,199576,Приволжский,Саратовская область,"24,58","22,1",536,н. д.,,136.0,177.0,121.0,173.0,118.0,40.0,105.0,11.0,159.0,122.0,202.0
51,55.803622499999996,37.96464879999999,Балашиха,0.6302366107451179,215353,Центральный,Московская область,"169,08",н. д.,"0,01",1,,182.0,103.0,123.0,122.0,210.0,214.0,151.0,235.0,237.0,223.0,83.0
52,51.537084,43.1717621,Балашов,0.602520153690846,82222,Приволжский,Саратовская область,"24,58","22,1",536,н. д.,,240.0,106.0,227.0,249.0,208.0,217.0,242.0,244.0,245.0,200.0,249.0
53,51.578789,116.646042,Балей,0.5952687234722089,12536,Сибирский,Забайкальский край,"2,49","22,8",242,н. д.,,,,,,,,,,,,
54,55.3567611,78.350348,Барабинск,0.599375288729948,30250,Сибирский,Новосибирская область,"15,65","20,4",570,"0,18",5.0,,,,,,,,,,,
55,53.347402,83.77844959999999,Барнаул,0.6711959854972599,635585,Сибирский,Алтайский край,"13,9","34,6",802,"0,04",1.0,60.0,116.0,75.0,57.0,115.0,69.0,53.0,78.0,57.0,82.0,96.0
56,53.654075799999994,47.1013737,Барыш,0.584392055045225,17149,Приволжский,Ульяновская область,"33,42",,,,,,,,,,,,,,,
57,47.138527,39.742348,Батайск,0.611147618423012,112400,Южный,Ростовская область,"41,87","15,3",643,"0,05",2.0,146.0,95.0,179.0,132.0,133.0,139.0,193.0,164.0,205.0,120.0,81.0
58,57.78135699999999,36.692535,Бежецк,0.600892870837439,24517,Центральный,Тверская область,"15,27","9,4",118,0,0.0,,,,,,,,,,,
59,48.1751778,40.7902124,Белая Калитва,0.6890892910038822,43688,Южный,Ростовская область,"41,87","15,3",643,"0,05",2.0,,,,,,,,,,,
60,50.5955595,36.5873394,Белгород,0.664911139729077,39026,Центральный,Белгородская область,"57,19","16,8",260,н. д.,,75.0,114.0,30.0,74.0,211.0,131.0,74.0,135.0,87.0,59.0,130.0
61,52.9669338,43.4130625,Белинский,0.586103409400246,8567,Приволжский,Пензенская область,"30,83","30,7",400,"0,08",1.0,,,,,,,,,,,
62,54.419323,86.30342900000001,Белово,0.598691090340636,76752,Сибирский,Кемеровская область,"28,22","27,3",726,"0,08",2.0,235.0,237.0,201.0,115.0,55.0,211.0,237.0,249.0,218.0,233.0,224.0
63,50.921326,128.47287,Белогорск,0.6035952848676379,68220,Дальневосточный,Амурская область,"2,2","42,5",336,н. д.,,117.0,160.0,81.0,68.0,23.0,181.0,191.0,203.0,19.0,151.0,196.0
64,50.921326,128.47287,Белогорск,0.6035952848676379,68220,Южный,Крым,"73,38","34,3",656,н. д.,,117.0,160.0,81.0,68.0,23.0,181.0,191.0,203.0,19.0,151.0,196.0
65,60.03199,37.7842189,Белозерск,0.603963118581715,9614,Северо-Западный,Вологодская область,"8,08","22,1",257,н. д.,,,,,,,,,,,,
66,51.9994856,84.9860861,Белокуриха,0.596361648836586,15072,Сибирский,Алтайский край,"13,9","34,6",802,"0,04",1.0,,,,,,,,,,,
67,64.5216684,34.762583500000005,Беломорск,0.59186861699418,11217,Северо-Западный,Карелия,"3,61","32,5",200,"0,16",1.0,,,,,,,,,,,
68,53.968070499999996,58.4099549,Белорецк,0.607813311092527,68804,Приволжский,Башкортостан,"28,3","25,5",1031,н. д.,,113.0,15.0,142.0,206.0,39.0,216.0,179.0,233.0,225.0,35.0,152.0
69,44.7614149,39.871294299999995,Белореченск,0.603574785150379,53891,Южный,Краснодарский край,"73,73","17,6",1000,"0,07",4.0,,,,,,,,,,,
70,63.7156353,66.6667691,Белоярский,0.5968209087811271,20283,Уральский,Ханты-Мансийский АО — Югра,"3,16","56,8",951,"0,18",3.0,,,,,,,,,,,
71,55.833073,32.939487,Белый,0.5982008806752789,3771,Центральный,Тверская область,"15,27","9,4",118,0,0.0,,,,,,,,,,,
72,54.7437662,83.0626890786016,Бердск,0.593615777768699,98809,Сибирский,Новосибирская область,"15,65","20,4",570,"0,18",5.0,34.0,60.0,64.0,12.0,36.0,98.0,35.0,80.0,47.0,62.0,18.0
73,59.408417099999994,56.8036958,Березники,0.617565036172246,156350,Приволжский,Пермский край,"16,33",20,520,"0,04",1.0,179.0,159.0,166.0,195.0,222.0,198.0,180.0,47.0,32.0,227.0,111.0
74,43.18755720000001,44.537568900000004,Беслан,0.6061251782511401,36724,Северо-Кавказский,Северная Осетия — Алания,"87,72",,,,,,,,,,,,,,,
75,52.5394905,85.2148673,Бийск,0.6230338711197161,203826,Сибирский,Алтайский край,"13,9","34,6",802,"0,04",1.0,158.0,166.0,161.0,150.0,70.0,163.0,173.0,54.0,105.0,147.0,208.0
76,46.819363,134.254822,Бикин,0.5964997865097429,17156,Дальневосточный,Хабаровский край,"1,68",н. д.,"0,08",1,,,,,,,,,,,,
77,48.78816679999999,132.9282082,Биробиджан,0.586699419665253,75419,Дальневосточный,Еврейская АО,"4,5",,,,,141.0,109.0,83.0,162.0,46.0,232.0,215.0,168.0,77.0,60.0,222.0
78,50.290527000000004,127.527161,Благовещенск,0.619684962903729,214397,Дальневосточный,Амурская область,"2,2","42,5",336,н. д.,,120.0,175.0,74.0,50.0,248.0,138.0,115.0,184.0,69.0,70.0,194.0
79,50.290527000000004,127.527161,Благовещенск,0.619684962903729,214397,Приволжский,Башкортостан,"28,3","25,5",1031,н. д.,,120.0,175.0,74.0,50.0,248.0,138.0,115.0,184.0,69.0,70.0,194.0
80,45.100857,43.420868,Благодарный,0.5877685253859921,32736,Северо-Кавказский,Ставропольский край,"42,12",,,,,,,,,,,,,,,
81,51.0967999,40.0307798,Бобров,0.589544497059049,19738,Центральный,Воронежская область,"44,54",15,348,н. д.,,,,,,,,,,,,
