;source;target;pass_day;transport;source_lat;source_lng;target_lat;target_lng;target_population;source_population;source_coords;target_coords;source_country;source_county;source_region;target_country;target_county;target_region
0;Москва;Симферополь (Крым);5314.7;avia;55.4792046;37.3273304;44.9521457;34.1024858;332317.0;11514330.0;(37.3273304, 55.4792046);(34.1024858, 44.9521457);Russia;Podolsky;Moscow City;Russia;Simferopolska;Crimea
1;Москва;Сочи;4976.633333333333;avia;55.4792046;37.3273304;43.5854823;39.723109;343285.0;11514330.0;(37.3273304, 55.4792046);(39.723109, 43.5854823);Russia;Podolsky;Moscow City;Russia;Sochi;Krasnodar
2;Симферополь (Крым);Москва;5194.066666666667;avia;44.9521457;34.1024858;55.4792046;37.3273304;11514330.0;332317.0;(34.1024858, 44.9521457);(37.3273304, 55.4792046);Russia;Simferopolska;Crimea;Russia;Podolsky;Moscow City
3;Сочи;Москва;4776.6;avia;43.5854823;39.723109;55.4792046;37.3273304;11514330.0;343285.0;(39.723109, 43.5854823);(37.3273304, 55.4792046);Russia;Sochi;Krasnodar;Russia;Podolsky;Moscow City
4;Санкт-Петербург;Москва;4524.966666666666;avia;59.929689;30.361791;55.4792046;37.3273304;11514330.0;4848742.0;(30.361791, 59.929689);(37.3273304, 55.4792046);Russia;;Saint Petersburg;Russia;Podolsky;Moscow City
5;Москва;Санкт-Петербург;4058.633333333333;avia;55.4792046;37.3273304;59.929689;30.361791;4848742.0;11514330.0;(37.3273304, 55.4792046);(30.361791, 59.929689);Russia;Podolsky;Moscow City;Russia;;Saint Petersburg
6;Краснодар;Москва;4150.366666666667;avia;45.0352566;38.9764814;55.4792046;37.3273304;11514330.0;34926.0;(38.9764814, 45.0352566);(37.3273304, 55.4792046);Russia;Krasnodar;Krasnodar;Russia;Podolsky;Moscow City
7;Москва;Краснодар;3726.066666666666;avia;55.4792046;37.3273304;45.0352566;38.9764814;34926.0;11514330.0;(37.3273304, 55.4792046);(38.9764814, 45.0352566);Russia;Podolsky;Moscow City;Russia;Krasnodar;Krasnodar
8;Минеральные Воды;Москва;3386.133333333333;avia;44.2107377;43.134969;55.4792046;37.3273304;11514330.0;76715.0;(43.134969, 44.2107377);(37.3273304, 55.4792046);Russia;;Stavropol;Russia;Podolsky;Moscow City
9;Москва;Минеральные Воды;3187.9;avia;55.4792046;37.3273304;44.2107377;43.134969;76715.0;11514330.0;(37.3273304, 55.4792046);(43.134969, 44.2107377);Russia;Podolsky;Moscow City;Russia;;Stavropol
10;Москва;Ростов-на-Дону;2666.266666666667;avia;55.4792046;37.3273304;47.2213858;39.7114196;1091544.0;11514330.0;(37.3273304, 55.4792046);(39.7114196, 47.2213858);Russia;Podolsky;Moscow City;Russia;Rostov-na-Donu;Rostov
11;Ростов-на-Дону;Москва;2571.2;avia;47.2213858;39.7114196;55.4792046;37.3273304;11514330.0;1091544.0;(39.7114196, 47.2213858);(37.3273304, 55.4792046);Russia;Rostov-na-Donu;Rostov;Russia;Podolsky;Moscow City
12;Москва;Екатеринбург;1997.5;avia;55.4792046;37.3273304;56.839104;60.60825;1377738.0;11514330.0;(37.3273304, 55.4792046);(60.60825, 56.839104);Russia;Podolsky;Moscow City;Russia;Ekaterinburg;Sverdlovsk
13;Москва;Калининград;1814.033333333333;avia;55.4792046;37.3273304;54.710128;20.5105838;6399.0;11514330.0;(37.3273304, 55.4792046);(20.5105838, 54.710128);Russia;Podolsky;Moscow City;Russia;Kaliningrad;Kaliningrad
14;Екатеринбург;Москва;1889.8666666666666;avia;56.839104;60.60825;55.4792046;37.3273304;11514330.0;1377738.0;(60.60825, 56.839104);(37.3273304, 55.4792046);Russia;Ekaterinburg;Sverdlovsk;Russia;Podolsky;Moscow City
15;Калининград;Москва;1856.2333333333331;avia;54.710128;20.5105838;55.4792046;37.3273304;11514330.0;6399.0;(20.5105838, 54.710128);(37.3273304, 55.4792046);Russia;Kaliningrad;Kaliningrad;Russia;Podolsky;Moscow City
16;Москва;Махачкала;1726.7666666666669;avia;55.4792046;37.3273304;42.9830241;47.5048717;577990.0;11514330.0;(37.3273304, 55.4792046);(47.5048717, 42.9830241);Russia;Podolsky;Moscow City;Russia;Makhachkala;Dagestan
17;Махачкала;Москва;1805.9;avia;42.9830241;47.5048717;55.4792046;37.3273304;11514330.0;577990.0;(47.5048717, 42.9830241);(37.3273304, 55.4792046);Russia;Makhachkala;Dagestan;Russia;Podolsky;Moscow City
18;Москва;Уфа;1473.7333333333331;avia;55.4792046;37.3273304;54.726288;55.947727;1062300.0;11514330.0;(37.3273304, 55.4792046);(55.947727, 54.726288);Russia;Podolsky;Moscow City;Russia;Ufa;Bashkortostan
19;Уфа;Москва;1473.5;avia;54.726288;55.947727;55.4792046;37.3273304;11514330.0;1062300.0;(55.947727, 54.726288);(37.3273304, 55.4792046);Russia;Ufa;Bashkortostan;Russia;Podolsky;Moscow City
20;Санкт-Петербург;Краснодар;1365.9666666666667;avia;59.929689;30.361791;45.0352566;38.9764814;34926.0;4848742.0;(30.361791, 59.929689);(38.9764814, 45.0352566);Russia;;Saint Petersburg;Russia;Krasnodar;Krasnodar
21;Самара;Москва;1285.0333333333333;avia;53.198627;50.113987;55.4792046;37.3273304;11514330.0;1164900.0;(50.113987, 53.198627);(37.3273304, 55.4792046);Russia;Samara;Samara;Russia;Podolsky;Moscow City
22;Казань;Москва;1362.6333333333334;avia;55.7823547;49.1242266;55.4792046;37.3273304;11514330.0;1216965.0;(49.1242266, 55.7823547);(37.3273304, 55.4792046);Russia;Kazan';Tatarstan;Russia;Podolsky;Moscow City
23;Москва;Казань;1321.6;avia;55.4792046;37.3273304;55.7823547;49.1242266;1216965.0;11514330.0;(37.3273304, 55.4792046);(49.1242266, 55.7823547);Russia;Podolsky;Moscow City;Russia;Kazan';Tatarstan
24;Краснодар;Санкт-Петербург;1367.9333333333334;avia;45.0352566;38.9764814;59.929689;30.361791;4848742.0;34926.0;(38.9764814, 45.0352566);(30.361791, 59.929689);Russia;Krasnodar;Krasnodar;Russia;;Saint Petersburg
25;Москва;Самара;1291.4;avia;55.4792046;37.3273304;53.198627;50.113987;1164900.0;11514330.0;(37.3273304, 55.4792046);(50.113987, 53.198627);Russia;Podolsky;Moscow City;Russia;Samara;Samara
26;Тюмень;Москва;1182.3;avia;57.153534;65.542274;55.4792046;37.3273304;11514330.0;581758.0;(65.542274, 57.153534);(37.3273304, 55.4792046);Russia;Tjumen';Tyumen;Russia;Podolsky;Moscow City
27;Москва;Новосибирск;1193.0;avia;55.4792046;37.3273304;55.0282171;82.9234509;30250.0;11514330.0;(37.3273304, 55.4792046);(82.9234509, 55.0282171);Russia;Podolsky;Moscow City;Russia;Novosibirsk;Novosibirsk
28;Новосибирск;Москва;1243.7666666666667;avia;55.0282171;82.9234509;55.4792046;37.3273304;11514330.0;30250.0;(82.9234509, 55.0282171);(37.3273304, 55.4792046);Russia;Novosibirsk;Novosibirsk;Russia;Podolsky;Moscow City
29;Москва;Тюмень;1212.7;avia;55.4792046;37.3273304;57.153534;65.542274;581758.0;11514330.0;(37.3273304, 55.4792046);(65.542274, 57.153534);Russia;Podolsky;Moscow City;Russia;Tjumen';Tyumen
30;Москва;Волгоград;1163.5;avia;55.4792046;37.3273304;48.64820995;44.3857638;1021244.0;11514330.0;(37.3273304, 55.4792046);(44.3857638, 48.64820995);Russia;Podolsky;Moscow City;Russia;Volgograd;Volgograd
31;Волгоград;Москва;1107.4;avia;48.64820995;44.3857638;55.4792046;37.3273304;11514330.0;1021244.0;(44.3857638, 48.64820995);(37.3273304, 55.4792046);Russia;Volgograd;Volgograd;Russia;Podolsky;Moscow City
32;Мурманск;Москва;1114.5;avia;68.970665;33.07497;55.4792046;37.3273304;11514330.0;59690.0;(33.07497, 68.970665);(37.3273304, 55.4792046);Russia;Murmansk;Murmansk;Russia;Podolsky;Moscow City
33;Москва;Красноярск;1064.6;avia;55.4792046;37.3273304;56.0090968;92.8725147;2180.0;11514330.0;(37.3273304, 55.4792046);(92.8725147, 56.0090968);Russia;Podolsky;Moscow City;Russia;Krasnojarsk;Krasnoyarsk
34;Челябинск;Москва;1069.8333333333333;avia;55.1598408;61.4025547;55.4792046;37.3273304;11514330.0;31916.0;(61.4025547, 55.1598408);(37.3273304, 55.4792046);Russia;Chelyabinsk;Chelyabinsk;Russia;Podolsky;Moscow City
35;Сургут;Москва;1000.3;avia;61.254032;73.3964;55.4792046;37.3273304;11514330.0;38922.0;(73.3964, 61.254032);(37.3273304, 55.4792046);Russia;;Khanty-Mansi;Russia;Podolsky;Moscow City
