source,target,pass_day,transport,source_lat,source_lng,target_lat,target_lng,target_population,source_population
Москва,Симферополь (Крым),5314.7,avia,55.479204599999996,37.3273304,44.9521457,34.1024858,332317.0,11514330.0
Москва,Сочи,4976.633333333333,avia,55.479204599999996,37.3273304,43.585482299999995,39.723109,343285.0,11514330.0
Симферополь (Крым),Москва,5194.066666666667,avia,44.9521457,34.1024858,55.479204599999996,37.3273304,11514330.0,332317.0
Сочи,Москва,4776.6,avia,43.585482299999995,39.723109,55.479204599999996,37.3273304,11514330.0,343285.0
Санкт-Петербург,Москва,4524.966666666666,avia,59.960673899999996,30.158655100000004,55.479204599999996,37.3273304,11514330.0,4848742.0
Москва,Санкт-Петербург,4058.633333333333,avia,55.479204599999996,37.3273304,59.960673899999996,30.158655100000004,4848742.0,11514330.0
Краснодар,Москва,4150.366666666667,avia,45.0352566,38.976481400000004,55.479204599999996,37.3273304,11514330.0,34926.0
Москва,Краснодар,3726.0666666666666,avia,55.479204599999996,37.3273304,45.0352566,38.976481400000004,34926.0,11514330.0
Минеральные Воды,Москва,3386.133333333333,avia,44.2107377,43.134969,55.479204599999996,37.3273304,11514330.0,76715.0
Москва,Минеральные Воды,3187.9,avia,55.479204599999996,37.3273304,44.2107377,43.134969,76715.0,11514330.0
Москва,Ростов-на-Дону,2666.266666666667,avia,55.479204599999996,37.3273304,47.22138579999999,39.7114196,1091544.0,11514330.0
Ростов-на-Дону,Москва,2571.2,avia,47.22138579999999,39.7114196,55.479204599999996,37.3273304,11514330.0,1091544.0
Москва,Екатеринбург,1997.5,avia,55.479204599999996,37.3273304,56.839104000000006,60.60825,1377738.0,11514330.0
Москва,Калининград,1814.0333333333333,avia,55.479204599999996,37.3273304,54.710128000000005,20.510583800000003,6399.0,11514330.0
Екатеринбург,Москва,1889.8666666666666,avia,56.839104000000006,60.60825,55.479204599999996,37.3273304,11514330.0,1377738.0
Калининград,Москва,1856.2333333333333,avia,54.710128000000005,20.510583800000003,55.479204599999996,37.3273304,11514330.0,6399.0
Москва,Махачкала,1726.7666666666667,avia,55.479204599999996,37.3273304,42.9830241,47.5048717,577990.0,11514330.0
