,Lat,Long,City,City population,Provinces/State
0,52.651054599999995,90.101159,Абаза,17111,Республика Хакасия
1,53.7209024,91.442435,Абакан,165183,Республика Хакасия
2,53.6828,53.655701,Абдулино,20663,Оренбургская область
3,44.8649528,38.1578189,Абинск,34926,Краснодарский край
4,56.525459700000006,52.9972512,Агрыз,19299,Республика Татарстан
5,43.425383399999994,39.9237036,Адлер,109539,Краснодарский край
6,54.862955500000005,53.0792275,Азнакаево,34859,Республика Татарстан
7,47.0884477,39.424074559130396,Азов,82882,Ростовская область
8,47.268696000000006,39.861362,Аксай,41984,Западно-Казахстанская область
9,57.850811,61.695,Алапаевск,38198,Свердловская область
10,54.84582955,46.5627484284573,Алатырь,38202,Чувашская Республика
11,58.608414,125.388222,Алдан,21277,Республика Саха (Якутия)
12,52.4970221,82.7730755,Алейск,28528,Алтайский край
13,56.3962287,38.711110299999994,Александров,61544,Владимирская область
14,59.163218900000004,57.5806324455949,Александровск,14868,Пермский край
15,50.6299364,38.6867154,Алексеевка,39026,Ростовская область
16,54.5028103,37.0667213,Алексин,61738,Тульская область
17,55.554956000000004,98.6654191,Алзамай,6751,Иркутская область
18,44.677112,34.4095393,Алушта,29078,Республика Крым
19,54.90050079999999,52.2963777,Альметьевск,146309,Республика Татарстан
20,64.7316875,177.5060925,Анадырь,13053,Чукотский автономный округ
21,44.894271999999994,37.316887,Анапа,58983,Краснодарский край
22,52.53111170000001,103.8826109,Ангарск,233765,Иркутская область
23,56.646801,32.26532,Андреаполь,8265,Тверская область
24,56.077808,86.019356,Анжеро-Судженск,76669,Кемеровская область
25,67.568626,33.404392,Апатиты,59690,Мурманская область
26,56.6954649,60.850453599999994,Арамиль,14227,Свердловская область
27,43.2950455,45.86889179999999,Аргун,29528,Чеченская Республика
28,54.8436669,46.2386314,Ардатов,9400,Нижегородская область
29,55.3989463,43.840812899999996,Арзамас,106367,Нижегородская область
30,51.942913,43.489098,Аркадак,12846,Саратовская область
31,44.9993585,41.1294061,Армавир,188897,Краснодарский край
32,44.1608008,133.2889113,Арсеньев,56742,Приморский край
33,56.090991599999995,49.8771828,Арск,18114,Республика Татарстан
34,54.116268000000005,86.27005799999999,Артышта,263,Кемеровская область
