,city,first_1000,first_10000,first_100000,last_1000
0,Абаза,95.0,-1.0,-1.0,155.0
1,Абакан,63.0,81.0,-1.0,-1.0
2,Абдулино,81.0,-1.0,-1.0,145.0
3,Абинск,79.0,-1.0,-1.0,169.0
4,Агрыз,65.0,-1.0,-1.0,129.0
5,Адлер,51.0,64.0,-1.0,156.0
6,Азнакаево,92.0,-1.0,-1.0,-1.0
7,Азов,62.0,82.0,-1.0,167.0
8,Аксай,62.0,-1.0,-1.0,143.0
9,Алапаевск,69.0,-1.0,-1.0,152.0
10,Алатырь,63.0,-1.0,-1.0,142.0
11,Алдан,-1.0,-1.0,-1.0,0.0
12,Алейск,107.0,-1.0,-1.0,-1.0
13,Александров,57.0,75.0,-1.0,145.0
14,Александровск,80.0,-1.0,-1.0,130.0
15,Алексеевка,52.0,-1.0,-1.0,128.0
16,Алексин,41.0,59.0,-1.0,140.0
17,Алзамай,100.0,-1.0,-1.0,113.0
18,Алушта,67.0,-1.0,-1.0,136.0
19,Альметьевск,67.0,85.0,-1.0,-1.0
20,Анадырь,68.0,-1.0,-1.0,115.0
21,Анапа,47.0,64.0,-1.0,143.0
22,Ангарск,87.0,117.0,-1.0,-1.0
23,Андреаполь,74.0,-1.0,-1.0,104.0
24,Анжеро-Судженск,86.0,-1.0,-1.0,-1.0
25,Апатиты,56.0,74.0,-1.0,143.0
26,Арамиль,111.0,-1.0,-1.0,160.0
27,Аргун,-1.0,-1.0,-1.0,0.0
28,Ардатов,78.0,-1.0,-1.0,115.0
29,Арзамас,51.0,65.0,-1.0,154.0
30,Аркадак,82.0,-1.0,-1.0,132.0
31,Армавир,51.0,64.0,-1.0,170.0
32,Арсеньев,96.0,-1.0,-1.0,-1.0
33,Арск,-1.0,-1.0,-1.0,0.0
34,Артышта,-1.0,-1.0,-1.0,0.0
35,Артём,-1.0,-1.0,-1.0,0.0
36,Артёмовск,-1.0,-1.0,-1.0,0.0
37,Артёмовский,80.0,-1.0,-1.0,161.0
38,Архангельск,32.0,44.0,-1.0,172.0
39,Асбест,88.0,-1.0,-1.0,-1.0
40,Асино,98.0,-1.0,-1.0,179.0
41,Астрахань,38.0,49.0,67.0,-1.0
42,Аткарск,73.0,-1.0,-1.0,144.0
43,Ахтубинск,52.0,-1.0,-1.0,134.0
44,Ачинск,71.0,92.0,-1.0,-1.0
45,Аша,76.0,-1.0,-1.0,152.0
46,Аян,-1.0,-1.0,-1.0,0.0
47,Бабаево,73.0,-1.0,-1.0,116.0
48,Бабушкин,-1.0,-1.0,-1.0,0.0
49,Бавлы,77.0,-1.0,-1.0,142.0
50,Багдарин,-1.0,-1.0,-1.0,0.0
51,Байкальск,-1.0,-1.0,-1.0,0.0
52,Байкит,-1.0,-1.0,-1.0,0.0
53,Баксан,76.0,-1.0,-1.0,160.0
54,Балабаново,61.0,-1.0,-1.0,127.0
55,Балаково,48.0,61.0,-1.0,176.0
56,Балашиха,80.0,117.0,-1.0,-1.0
57,Балашов,48.0,62.0,-1.0,145.0
58,Балей,135.0,-1.0,-1.0,155.0
59,Барабинск,91.0,-1.0,-1.0,175.0
60,Барнаул,54.0,68.0,102.0,-1.0
61,Барыш,73.0,-1.0,-1.0,131.0
62,Батагай,-1.0,-1.0,-1.0,0.0
63,Батайск,82.0,130.0,-1.0,-1.0
64,Бежаницы,69.0,-1.0,-1.0,73.0
65,Бежецк,59.0,-1.0,-1.0,123.0
66,Белая Гора,-1.0,-1.0,-1.0,0.0
67,Белая Калитва,45.0,66.0,-1.0,132.0
68,Белгород,37.0,49.0,-1.0,177.0
69,Белинский,57.0,-1.0,-1.0,94.0
70,Белово,80.0,-1.0,-1.0,-1.0
71,Белогорск,91.0,-1.0,-1.0,-1.0
72,Белозерск,89.0,-1.0,-1.0,124.0
73,Белокуриха,82.0,-1.0,-1.0,140.0
74,Беломорск,88.0,-1.0,-1.0,129.0
75,Белорецк,133.0,-1.0,-1.0,-1.0
76,Белореченск,55.0,74.0,-1.0,141.0
77,Белоярский,76.0,-1.0,-1.0,138.0
78,Белый,-1.0,-1.0,-1.0,0.0
79,Бердск,134.0,-1.0,-1.0,-1.0
80,Березники,64.0,79.0,-1.0,-1.0
81,Берёзово,105.0,-1.0,-1.0,112.0
82,Берёзовый,-1.0,-1.0,-1.0,0.0
83,Беслан,82.0,-1.0,-1.0,176.0
84,Бийск,70.0,87.0,-1.0,-1.0
85,Бикин,136.0,-1.0,-1.0,-1.0
86,Биробиджан,109.0,-1.0,-1.0,-1.0
87,Благовещенск,56.0,-1.0,-1.0,143.0
88,Благодарный,58.0,-1.0,-1.0,129.0
89,Бобров,59.0,-1.0,-1.0,116.0
90,Богданович,90.0,-1.0,-1.0,179.0
91,Богородицк,47.0,-1.0,-1.0,124.0
92,Богородское,-1.0,-1.0,-1.0,0.0
93,Боготол,80.0,-1.0,-1.0,147.0
94,Богучар,53.0,-1.0,-1.0,102.0
95,Бодайбо,96.0,-1.0,-1.0,150.0
96,Бокситогорск,52.0,-1.0,-1.0,109.0
97,Болгар,76.0,-1.0,-1.0,107.0
98,Бологое,60.0,-1.0,-1.0,123.0
99,Болотное,-1.0,-1.0,-1.0,0.0
100,Болхов,78.0,-1.0,-1.0,122.0
101,Большой Камень (ЗАТО),85.0,-1.0,-1.0,174.0
