transport,departure,arrival,passengers
avia,Москва,Симферополь (Крым),15944
avia,Москва,Сочи,14929
avia,Симферополь (Крым),Москва,15582
avia,Сочи,Москва,14329
avia,Санкт-Петербург,Москва,13574
avia,Москва,Санкт-Петербург,12175
avia,Краснодар,Москва,12451
avia,Москва,Краснодар,11178
avia,Минеральные Воды,Москва,10158
avia,Москва,Минеральные Воды,9563
avia,Москва,Ростов-на-Дону,7998
avia,Ростов-на-Дону,Москва,7713
avia,Москва,Екатеринбург,5992
avia,Москва,Калининград,5442
avia,Екатеринбург,Москва,5669
avia,Калининград,Москва,5568
avia,Москва,Махачкала,5180
avia,Махачкала,Москва,5417
avia,Москва,Уфа,4421
avia,Уфа,Москва,4420
avia,Санкт-Петербург,Краснодар,4097
avia,Самара,Москва,3855
avia,Казань,Москва,4087
avia,Москва,Казань,3964
avia,Краснодар,Санкт-Петербург,4103
avia,Москва,Самара,3874
avia,Тюмень,Москва,3546
avia,Москва,Новосибирск,3579
avia,Новосибирск,Москва,3731
avia,Москва,Тюмень,3638
avia,Москва,Волгоград,3490
avia,Волгоград,Москва,3322
avia,Мурманск,Москва,3343
avia,Москва,Красноярск,3193
avia,Челябинск,Москва,3209
avia,Сургут,Москва,3000
avia,Москва,Челябинск,3093
avia,Санкт-Петербург,Ростов-на-Дону,2968
avia,Красноярск,Москва,2890
avia,Москва,Сургут,2901
avia,Москва,Омск,2829
avia,Омск,Москва,2979
avia,Москва,Мурманск,2692
avia,Ростов-на-Дону,Санкт-Петербург,2724
avia,Санкт-Петербург,Симферополь (Крым),2540
avia,Астрахань,Москва,2515
avia,Москва,Астрахань,2545
avia,Санкт-Петербург,Сочи,2447
avia,Москва,Анапа,2558
avia,Сочи,Санкт-Петербург,2415
avia,Симферополь (Крым),Санкт-Петербург,2343
avia,Калининград,Санкт-Петербург,2325
avia,Санкт-Петербург,Калининград,2366
avia,Пермь,Москва,2364
avia,Москва,Пермь,2343
avia,Москва,Чебоксары,2167
avia,Москва,Нижнекамск,2188
avia,Нижнекамск,Москва,2138
avia,Москва,Назрань,2158
avia,Анапа,Москва,2009
avia,Санкт-Петербург,Самара,2054
avia,Самара,Санкт-Петербург,2065
avia,Москва,Оренбург,2014
avia,Москва,Владикавказ,1933
