transport,departure,arrival,passengers
avia,Москва,Симферополь (Крым),159441
avia,Москва,Сочи,149299
avia,Симферополь (Крым),Москва,155822
avia,Сочи,Москва,143298
avia,Санкт-Петербург,Москва,135749
avia,Москва,Санкт-Петербург,121759
avia,Краснодар,Москва,124511
avia,Москва,Краснодар,111782
avia,Минеральные Воды,Москва,101584
avia,Москва,Минеральные Воды,95637
avia,Москва,Ростов-на-Дону,79988
avia,Ростов-на-Дону,Москва,77136
avia,Москва,Екатеринбург,59925
avia,Москва,Калининград,54421
avia,Екатеринбург,Москва,56696
avia,Калининград,Москва,55687
avia,Москва,Махачкала,51803
avia,Махачкала,Москва,54177
avia,Москва,Уфа,44212
avia,Уфа,Москва,44205
avia,Санкт-Петербург,Краснодар,40979
avia,Самара,Москва,38551
avia,Казань,Москва,40879
avia,Москва,Казань,39648
avia,Краснодар,Санкт-Петербург,41038
avia,Москва,Самара,38742
avia,Тюмень,Москва,35469
avia,Москва,Новосибирск,35790
avia,Новосибирск,Москва,37313
avia,Москва,Тюмень,36381
avia,Москва,Волгоград,34905
avia,Волгоград,Москва,33222
avia,Мурманск,Москва,33435
avia,Москва,Красноярск,31938
avia,Челябинск,Москва,32095
avia,Сургут,Москва,30009
avia,Москва,Челябинск,30939
avia,Санкт-Петербург,Ростов-на-Дону,29681
avia,Красноярск,Москва,28909
avia,Москва,Сургут,29015
avia,Москва,Омск,28292
avia,Омск,Москва,29791
avia,Москва,Мурманск,26928
avia,Ростов-на-Дону,Санкт-Петербург,27246
avia,Санкт-Петербург,Симферополь (Крым),25409
avia,Астрахань,Москва,25156
avia,Москва,Астрахань,25459
avia,Санкт-Петербург,Сочи,24474
avia,Москва,Анапа,25582
avia,Сочи,Санкт-Петербург,24154
avia,Симферополь (Крым),Санкт-Петербург,23430
avia,Калининград,Санкт-Петербург,23254
avia,Санкт-Петербург,Калининград,23666
avia,Пермь,Москва,23644
avia,Москва,Пермь,23434
avia,Москва,Чебоксары,21675
avia,Москва,Нижнекамск,21888
avia,Нижнекамск,Москва,21380
avia,Москва,Назрань,21587
avia,Анапа,Москва,20096
avia,Санкт-Петербург,Самара,20547
avia,Самара,Санкт-Петербург,20656
avia,Москва,Оренбург,20147
avia,Москва,Владикавказ,19330
avia,Чебоксары,Москва,19123
avia,Оренбург,Москва,20463
avia,Хабаровск,Москва,18834
avia,Санкт-Петербург,Екатеринбург,19745
avia,Назрань,Москва,20103
avia,Санкт-Петербург,Архангельск,18210
avia,Владикавказ,Москва,18671
avia,Минеральные Воды,Санкт-Петербург,19144
avia,Москва,Хабаровск,17801
avia,Санкт-Петербург,Минеральные Воды,17492
avia,Москва,Владивосток,18969
avia,Екатеринбург,Санкт-Петербург,17109
avia,Архангельск,Санкт-Петербург,16990
avia,Саратов,Москва,16732
avia,Москва,Саратов,17638
avia,Мурманск,Санкт-Петербург,16706
avia,Владивосток,Москва,16592
avia,Москва,Томск,16341
avia,Москва,Ставрополь,16517
avia,Санкт-Петербург,Казань,15461
avia,Новый Уренгой,Москва,15136
avia,Москва,Ульяновск,15650
avia,Санкт-Петербург,Мурманск,15307
avia,Ставрополь,Москва,14394
avia,Воронеж,Москва,14755
avia,Томск,Москва,15231
avia,Москва,Воронеж,14658
avia,Краснодар,Екатеринбург,13774
avia,Казань,Санкт-Петербург,13645
avia,Москва,Иркутск,14131
avia,Москва,Новый Уренгой,13780
avia,Иркутск,Москва,13116
avia,Архангельск,Москва,12862
avia,Москва,Архангельск,13289
avia,Санкт-Петербург,Уфа,12433
avia,Ульяновск,Москва,12276
avia,Екатеринбург,Краснодар,12341
avia,Москва,Белгород,12192
avia,Уфа,Санкт-Петербург,10787
avia,Белгород,Москва,10556
avia,Москва,Грозный,11205
avia,Санкт-Петербург,Сыктывкар,10662
avia,Грозный,Москва,10300
avia,Санкт-Петербург,Волгоград,11042
avia,Сыктывкар,Санкт-Петербург,10040
avia,Санкт-Петербург,Махачкала,10073
avia,Москва,Киров,9951
avia,Сыктывкар,Москва,9793
avia,Благовещенск,Москва,9846
avia,Волгоград,Санкт-Петербург,9743
avia,Санкт-Петербург,Новосибирск,9958
avia,Москва,Благовещенск,9439
avia,Москва,Барнаул,9704
avia,Санкт-Петербург,Челябинск,9254
avia,Москва,Магадан,9045
avia,Киров,Москва,9920
avia,Новый Уренгой,Тюмень,9261
avia,Новосибирск,Санкт-Петербург,9661
avia,Москва,Сыктывкар,9639
avia,Челябинск,Санкт-Петербург,9345
avia,Санкт-Петербург,Оренбург,8657
avia,Махачкала,Санкт-Петербург,9141
avia,Салехард,Тюмень,8963
avia,Барнаул,Москва,8502
avia,Ижевск,Москва,8488
avia,Нижневартовск,Уфа,8670
avia,Москва,Ижевск,8815
avia,Санкт-Петербург,Воронеж,8487
avia,Сургут,Санкт-Петербург,8200
avia,Магадан,Москва,8338
avia,Екатеринбург,Сочи,8180
avia,Сочи,Екатеринбург,8611
avia,Оренбург,Санкт-Петербург,8272
avia,Санкт-Петербург,Сургут,8108
avia,Надым,Москва,7510
avia,Воронеж,Санкт-Петербург,7460
avia,Санкт-Петербург,Омск,7401
avia,Тюмень,Салехард,7515
avia,Салехард,Москва,7771
avia,Тюмень,Новый Уренгой,7212
avia,Нижневартовск,Новосибирск,7090
avia,Москва,Кемерово,7005
avia,Ханты-Мансийск,Москва,7159
avia,Новосибирск,Нижневартовск,7018
avia,Санкт-Петербург,Анапа,7302
avia,Санкт-Петербург,Тюмень,7246
avia,Южно-Сахалинск,Москва,7154
avia,Кемерово,Москва,6772
